CustomerID,Gender,Location,Transaction_ID,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status,Date,Temperature (F),Weather Conditions
17581.0,M,California,37093.0,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,1.0,13.59,6.0,Clicked,2019-08-31,95.63,clear sky
17880.0,M,California,26317.0,Google 3/4 Sleeve Raglan Badge Henley Black,Apparel,1.0,16.23,6.0,Not Used,2019-04-24,85.46,clear sky
17880.0,M,California,26314.0,22 oz Android Bottle,Bottles,1.0,2.99,6.0,Used,2019-04-24,85.46,clear sky
12539.0,M,Chicago,35456.0,Collapsible Shopping Bag,Bags,1.0,3.99,12.99,Clicked,2019-08-12,78.64,overcast clouds
16891.0,M,Chicago,19496.0,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,119.0,6.5,Clicked,2019-02-02,18.09,scattered clouds
17857.0,M,Chicago,25428.0,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,119.0,6.0,Not Used,2019-04-12,53.62,broken clouds
17218.0,F,Chicago,23119.0,Google Men's 100% Cotton Short Sleeve Hero Tee White,Apparel,2.0,16.99,6.5,Not Used,2019-03-17,36.28,few clouds
12748.0,F,Chicago,25248.0,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,149.0,6.5,Clicked,2019-04-10,63.1,broken clouds
17890.0,F,Chicago,28366.0,Android 25 oz Green Apple Stainless Steel Bottle,Drinkware,1.0,9.79,6.0,Clicked,2019-05-19,67.06,broken clouds
14049.0,M,Chicago,42000.0,Four Color Retractable Pen,Office,1.0,2.99,6.0,Clicked,2019-10-28,54.54,clear sky
15194.0,M,Chicago,30613.0,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,149.0,6.0,Clicked,2019-06-17,54.37,overcast clouds
18145.0,F,Chicago,45030.0,YouTube Custom Decals,Office,1.0,0.4,6.5,Not Used,2019-11-28,36.48,overcast clouds
13982.0,F,Chicago,25766.0,Android Wool Heather Cap Heather/Black,Headgear,1.0,13.99,6.0,Used,2019-04-17,51.6,overcast clouds
13174.0,M,Chicago,21867.0,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,119.0,6.5,Used,2019-03-03,27.99,overcast clouds
14701.0,M,Chicago,43017.0,Four Color Retractable Pen,Office,2.0,2.39,6.0,Clicked,2019-11-09,29.59,broken clouds
15311.0,F,Chicago,37242.0,Google Women's Performance Hero Tee Gunmetal,Apparel,1.0,11.0,6.0,Used,2019-09-02,67.86,broken clouds
15052.0,F,Chicago,40929.0,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,149.0,6.0,Clicked,2019-10-17,49.5,scattered clouds
13174.0,M,Chicago,21814.0,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,119.0,6.5,Clicked,2019-03-03,27.99,overcast clouds
16889.0,F,Chicago,34448.0,Google Toddler Short Sleeve Tee White,Apparel,1.0,13.59,6.0,Not Used,2019-08-02,74.26,few clouds
17211.0,F,Chicago,27356.0,Google Women's Vintage Hero Tee White,Apparel,1.0,15.19,6.0,Clicked,2019-05-05,55.35,few clouds
12766.0,F,Chicago,24885.0,Google Men's Performance Polo Grey/Black,Apparel,1.0,62.99,6.5,Used,2019-04-05,41.16,light rain
16503.0,F,Chicago,36805.0,Google Canvas Tote Natural/Navy,Bags,3.0,12.79,12.48,Used,2019-08-28,77.05,few clouds
12681.0,M,Chicago,35684.0,Nest Cam Indoor Security Camera - USA,Nest-USA,3.0,119.0,6.0,Used,2019-08-15,72.39,light rain
13319.0,F,Chicago,32923.0,Recycled Paper Journal Set,Office,1.0,3.19,6.5,Used,2019-07-17,78.15,moderate rain
15811.0,F,Chicago,25988.0,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1.0,149.0,6.0,Used,2019-04-19,43,overcast clouds
15696.0,M,Chicago,43129.0,Google Sunglasses,Lifestyle,1.0,3.5,6.0,Clicked,2019-11-11,39.61,overcast clouds
18118.0,M,Chicago,38299.0,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,119.0,6.0,Clicked,2019-09-16,75.6,light rain
13008.0,F,Chicago,28609.0,Nest Cam Indoor Security Camera - USA,Nest-USA,2.0,119.0,6.0,Clicked,2019-05-22,51.4,light rain
17634.0,F,Chicago,33959.0,Google Men's Vintage Badge Tee Black,Apparel,8.0,7.6,12.99,Not Used,2019-07-28,86.34,few clouds
17293.0,M,Chicago,28318.0,Google Men's Short Sleeve Performance Badge Tee Black,Apparel,1.0,12.31,6.0,Clicked,2019-05-18,45.9,moderate rain
14606.0,F,Chicago,45884.0,Android BTTF Cosmos Graphic Tee,Apparel,1.0,4.08,12.48,Clicked,2019-12-06,44.22,broken clouds
12793.0,F,Chicago,35079.0,Android Lunch Kit,Lifestyle,1.0,8.99,6.0,Used,2019-08-09,79.93,few clouds
16791.0,F,Chicago,36193.0,Google Women's Short Sleeve Hero Tee Grey,Apparel,1.0,5.1,6.0,Clicked,2019-08-21,74.32,moderate rain
15555.0,F,Chicago,26073.0,Google Stretch Fit Hat M/L Navy,Headgear,1.0,12.31,6.0,Not Used,2019-04-20,44.26,few clouds
15719.0,F,Chicago,47324.0,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,121.3,6.5,Used,2019-12-18,26.42,overcast clouds
14341.0,F,Chicago,41807.0,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,119.0,6.0,Clicked,2019-10-26,44.13,broken clouds
13174.0,M,Chicago,21769.0,Google Spiral Journal with Pen,Notebooks & Journals,1.0,9.99,6.5,Used,2019-03-02,29.64,broken clouds
15513.0,F,Chicago,16955.0,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,5.0,81.5,6.5,Not Used,2019-01-03,29.39,light snow
