CustomerID,Gender,Location,Transaction_ID,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status,Date,Weather Conditions
14307.0,F,California,38830.0,Google Stylus Pen w/ LED Light,Office,75.0,4.4,82.48,Clicked,2019-09-23,
14911.0,F,California,45554.0,Google Youth Baseball Raglan Heather/Black,Apparel,1.0,10.18,6.5,Clicked,2019-12-04,
17085.0,F,California,31959.0,Leatherette Journal,Office,30.0,8.79,36.06,Clicked,2019-07-06,
17787.0,M,California,39212.0,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,149.0,6.0,Not Used,2019-09-27,
14527.0,M,California,38656.0,Google Tote Bag,Bags,1.0,9.99,6.0,Clicked,2019-09-21,
15889.0,F,California,21567.0,Ballpoint LED Light Pen,Office,30.0,2.5,6.5,Used,2019-02-28,
17841.0,M,California,36378.0,Android Onesie Gold,Apparel,1.0,19.19,6.0,Clicked,2019-08-23,
16814.0,M,California,38257.0,Google Women's Long Sleeve Tee Lavender,Apparel,1.0,9.6,6.0,Used,2019-09-15,
13819.0,F,California,40567.0,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,199.0,6.0,Clicked,2019-10-12,
16727.0,F,California,26830.0,Google Women's Long Sleeve Tee Lavender,Apparel,1.0,23.99,12.99,Clicked,2019-04-30,
15384.0,M,California,29679.0,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,149.0,6.0,Used,2019-06-05,
17337.0,F,California,47054.0,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,151.88,6.5,Clicked,2019-12-15,
12668.0,F,California,45209.0,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,119.0,6.5,Clicked,2019-11-30,
13649.0,F,California,24983.0,Google Twill Cap,Apparel,1.0,10.99,6.5,Clicked,2019-04-06,
13488.0,F,California,36340.0,Women's Performance Full Zip Jacket Black,Apparel,1.0,67.19,6.0,Not Used,2019-08-22,
15032.0,F,California,24750.0,Google Metallic Notebook Set,Office,60.0,4.79,45.5,Used,2019-04-04,
17596.0,F,California,22399.0,Google Canvas Tote Natural/Navy,Bags,1.0,12.79,24.47,Used,2019-03-08,
13097.0,M,California,29385.0,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1.0,149.0,6.0,Clicked,2019-06-01,
12672.0,F,California,36994.0,YouTube Men's Short Sleeve Hero Tee Charcoal,Apparel,1.0,18.99,6.0,Used,2019-08-30,
14497.0,M,California,47577.0,Nest Cam IQ - USA,Nest,1.0,202.84,6.5,Used,2019-12-19,
14541.0,F,California,40839.0,Nest Cam IQ - USA,Nest,1.0,199.0,6.0,Used,2019-10-16,
14911.0,F,California,42756.0,25L Classic Rucksack,Backpacks,1.0,79.99,6.0,Not Used,2019-11-07,
12510.0,F,California,38370.0,YouTube Men's Long & Lean Tee Charcoal,Apparel,1.0,8.0,6.0,Used,2019-09-18,
16274.0,F,California,17815.0,Google Men's Long Sleeve Raglan Ocean Blue,Apparel,1.0,25.78,6.5,Clicked,2019-01-13,
